City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
477,nyzy,UA,82.67,50.78,34.78,broken clouds,
478,faya,SA,77.0,18.39,42.45,broken clouds,مقبرة ال مجمل
481,gushikawa,JP,84.2,26.35,127.87,broken clouds,Kirari Guest House
482,poya,NC,71.01,-21.35,165.15,overcast clouds,
483,cajati,BR,73.62,-24.74,-48.12,scattered clouds,Hotel Cortesia
484,itacoatiara,BR,75.2,-3.14,-58.44,clear sky,BBB Rooms Centro Itacoatiara AM
486,tiruppur,IN,84.2,11.1,77.35,scattered clouds,Velan Hotel Greenfields
488,garachine,PA,78.46,8.06,-78.36,overcast clouds,
489,puerto escondido,MX,77.92,15.85,-97.07,overcast clouds,Aldea del Bazar Hotel and Spa
492,chara,RU,72.84,56.91,118.26,broken clouds,
493,pirgos,GR,91.0,35.12,25.72,clear sky,Daios Cove
494,karasuk,RU,72.79,53.74,78.04,broken clouds,London Siti Otel'
495,tibiri,NE,82.4,13.56,7.05,scattered clouds,
498,plettenberg bay,ZA,65.44,-34.05,23.37,clear sky,Thanda Vista B&B
499,taphan hin,TH,93.99,16.22,100.42,few clouds,Rom Makham Homestay
500,vagay,RU,64.98,57.94,69.02,scattered clouds,
501,polunochnoye,RU,68.49,60.87,60.42,overcast clouds,
502,olinda,BR,82.4,-8.01,-34.86,scattered clouds,Hotel 5 Sóis
504,broome,US,72.0,42.25,-75.83,broken clouds,Chenango Valley State Park
505,port moresby,PG,78.8,-9.44,147.18,broken clouds,Lamana Hotel
506,half moon bay,US,60.01,37.46,-122.43,light rain,"The Ritz-Carlton, Half Moon Bay"
507,ortigueira,BR,65.7,-24.21,-50.95,few clouds,Village Das Araucarias
510,yazd,IR,105.8,31.9,54.37,scattered clouds,Mozaffar Traditional Hotel
511,baru,ID,77.22,-7.05,112.39,clear sky,PP Matholi'ul Anwar
512,toyooka,JP,75.2,35.53,134.83,broken clouds,O Hotel Toyooka
513,gaoua,BF,76.17,10.3,-3.25,overcast clouds,
514,russell,US,77.0,32.35,-85.2,broken clouds,Macs
516,puerto madero,MX,73.4,14.72,-92.42,broken clouds,Hotel La Central
518,naliya,IN,89.51,23.27,68.83,scattered clouds,Hotel Panchvati
519,kuldur,RU,69.78,49.22,131.63,few clouds,
520,araouane,ML,93.38,18.9,-3.53,overcast clouds,
521,port-cartier,CA,63.0,50.03,-66.87,light intensity drizzle,Le Q'Artier
522,oga,IT,81.0,46.46,10.35,clear sky,QC Terme Bagni di Bormio Bagni Nuovi
523,palmer,US,81.0,42.16,-72.33,few clouds,Wedgewood Motel
525,sabadell,ES,93.99,41.54,2.11,scattered clouds,Hotel Arrahona
526,nchelenge,ZM,77.77,-9.35,28.73,clear sky,Mweru Water Transport
527,soe,ID,60.31,-9.86,124.28,overcast clouds,Dena Hotel
528,luanda,AO,78.8,-8.84,13.23,broken clouds,EPIC SANA Luanda
529,sinnamary,GF,79.18,5.38,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
531,new bern,US,80.6,35.11,-77.04,clear sky,Hampton Inn New Bern
533,campestre,BR,64.53,-21.71,-46.25,few clouds,Hotel Campestre
534,gravdal,NO,71.6,68.12,13.5,scattered clouds,Skreda Rorbusuiter
