City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
73,saint-philippe,RE,-21.36,55.77,73.4,78,90,18.34,overcast clouds,0.0,0
74,leningradskiy,RU,69.38,178.42,33.15,93,0,1.32,clear sky,0.0,0
75,iqaluit,CA,63.75,-68.51,59.0,72,75,8.05,broken clouds,0.0,0
76,port alfred,ZA,-33.59,26.89,74.07,28,3,7.4,clear sky,0.0,0
77,almaznyy,RU,48.04,40.05,91.4,21,20,22.37,few clouds,0.0,0
78,pisco,PE,-13.7,-76.22,57.99,82,90,5.82,overcast clouds,0.0,0
79,carnarvon,AU,-24.87,113.63,69.8,83,0,17.22,clear sky,0.0,0
80,bredasdorp,ZA,-34.53,20.04,60.8,67,75,5.82,broken clouds,0.0,0
81,qaanaaq,GL,77.48,-69.36,43.3,61,0,3.58,clear sky,0.0,0
82,thompson,CA,55.74,-97.86,55.4,100,90,6.93,mist,0.0,0
83,meulaboh,ID,4.14,96.13,75.13,91,100,9.69,moderate rain,2.97,0
84,bandarbeyla,SO,9.49,50.81,83.32,63,36,28.3,scattered clouds,0.0,0
85,kodiak,US,57.79,-152.41,53.6,81,1,6.93,clear sky,0.0,0
86,jucas,BR,-6.53,-39.53,79.21,44,0,8.88,clear sky,0.0,0
87,port blair,IN,11.67,92.75,83.32,79,97,14.43,light rain,0.36,0
88,clocolan,ZA,-28.91,27.57,58.59,34,0,8.03,clear sky,0.0,0
89,richards bay,ZA,-28.78,32.04,73.35,46,0,10.78,clear sky,0.0,0
90,alekseyevsk,RU,57.84,108.35,68.67,80,78,5.48,broken clouds,0.0,0
91,jhargram,IN,22.45,86.98,90.91,65,94,11.3,overcast clouds,0.0,0
92,moranbah,AU,-22.0,148.05,55.42,41,0,8.81,clear sky,0.0,0
93,tucuma,BR,-0.18,-50.05,80.85,72,24,7.47,few clouds,0.0,0
94,buraydah,SA,26.33,43.98,114.8,18,23,11.41,few clouds,0.0,0
95,morant bay,JM,17.88,-76.41,84.2,62,20,6.93,few clouds,0.0,0
96,maun,BW,-19.98,23.42,73.4,23,0,5.82,clear sky,0.0,0
97,colac,AU,-38.33,143.58,48.0,98,100,1.39,overcast clouds,0.0,0
98,hobart,AU,-42.88,147.33,48.2,81,75,5.82,broken clouds,0.0,0
99,kodinsk,RU,58.69,99.18,71.73,54,56,2.1,broken clouds,0.0,0
100,kendari,ID,-3.94,122.5,74.07,83,98,4.07,overcast clouds,0.0,0
101,tuktoyaktuk,CA,69.45,-133.04,44.33,87,100,4.52,light rain,0.11,0
102,codrington,AU,-38.27,141.97,46.54,89,100,3.51,overcast clouds,0.0,0
103,hilo,US,19.73,-155.09,78.8,74,75,5.82,light rain,0.25,0
104,flin flon,CA,54.77,-101.86,55.4,93,5,3.06,clear sky,0.0,0
105,arraial do cabo,BR,-22.97,-42.03,75.2,69,0,11.41,clear sky,0.0,0
106,ostrovnoy,RU,68.05,39.51,65.32,64,20,9.35,few clouds,0.0,0
107,roald,NO,62.58,6.13,64.99,68,75,11.41,light rain,0.0,0
108,tagusao,PH,9.19,117.81,81.81,78,88,4.41,overcast clouds,0.0,0
109,new norfolk,AU,-42.78,147.06,43.0,88,59,2.21,broken clouds,0.0,0
110,pala,TD,9.36,14.9,79.18,73,100,4.29,overcast clouds,0.0,0
111,luderitz,NA,-26.65,15.16,69.8,60,0,14.99,clear sky,0.0,0
112,dingli,MT,35.86,14.38,91.4,33,0,9.17,clear sky,0.0,0
113,barrow,US,71.29,-156.79,37.4,86,90,25.28,light rain,0.0,0
114,atasu,KZ,48.68,71.64,73.74,38,73,13.47,broken clouds,0.0,0
115,torres,BR,-29.34,-49.73,55.09,94,100,16.26,moderate rain,2.81,0
116,saint george,US,37.1,-113.58,80.01,33,1,8.05,clear sky,0.0,0
117,faanui,PF,-16.48,-151.75,78.26,80,38,17.83,scattered clouds,0.0,0
118,airai,TL,-8.93,125.41,56.3,100,79,3.53,broken clouds,0.0,0
119,los llanos de aridane,ES,28.66,-17.92,78.8,61,20,14.99,few clouds,0.0,0
120,vetluzhskiy,RU,58.39,45.47,78.42,44,6,4.32,clear sky,0.0,0
121,pevek,RU,69.7,170.31,33.48,93,0,11.21,clear sky,0.0,0
122,bengkulu,ID,-3.8,102.27,78.94,84,79,10.36,light rain,0.12,0
123,henties bay,NA,-22.12,14.28,69.03,47,0,12.3,clear sky,0.0,0
124,borda da mata,BR,-22.27,-46.17,66.99,73,27,3.89,scattered clouds,0.0,0
125,emerald,AU,-23.53,148.17,60.8,31,0,12.75,clear sky,0.0,0
126,olafsvik,IS,64.89,-23.71,49.86,75,92,7.87,overcast clouds,0.0,0
127,isabela,PH,6.71,121.97,80.19,79,59,2.98,broken clouds,0.0,0
128,makasar,ID,-5.14,119.42,78.8,74,40,2.24,scattered clouds,0.0,0
129,tual,ID,-5.67,132.75,78.51,81,89,22.06,overcast clouds,0.0,0
130,cururupu,BR,-1.83,-44.87,84.31,62,0,7.96,clear sky,0.0,0
131,aloja,LV,57.77,24.88,73.99,68,100,1.99,overcast clouds,0.0,0
132,riwaka,NZ,-41.08,173.0,48.99,88,100,4.9,light rain,0.15,0
133,uige,AO,-7.61,15.06,90.99,21,39,4.74,scattered clouds,0.0,0
134,dikson,RU,73.51,80.55,43.83,77,66,15.61,broken clouds,0.0,0
135,ilulissat,GL,69.22,-51.1,42.8,87,75,10.29,light intensity shower rain,0.0,0
136,aykhal,RU,66.0,111.5,53.6,71,90,8.95,overcast clouds,0.0,0
137,sao filipe,CV,14.9,-24.5,76.51,77,82,4.94,broken clouds,0.0,0
138,coihaique,CL,-45.58,-72.07,33.8,86,93,4.7,overcast clouds,0.0,0
139,iberia,US,29.95,-91.75,75.2,100,90,3.36,moderate rain,1.78,0
140,laguna,US,38.42,-121.42,60.01,77,1,4.7,clear sky,0.0,0
141,hisor,TJ,38.52,68.55,96.8,19,20,6.71,few clouds,0.0,0
142,berlevag,NO,70.86,29.09,71.6,87,2,16.11,clear sky,0.0,0
143,zonguldak,TR,41.25,31.83,80.6,61,40,12.75,scattered clouds,0.0,0
144,tarboro,US,35.9,-77.54,80.6,83,1,5.82,clear sky,0.0,0
145,cuautepec,MX,16.7,-99.0,74.03,83,97,3.49,overcast clouds,0.0,0
146,cullman,US,34.17,-86.84,75.0,94,40,4.09,scattered clouds,0.0,0
147,kruisfontein,ZA,-34.0,24.73,72.0,35,0,7.0,clear sky,0.0,0
148,padang,ID,-0.95,100.35,73.4,100,40,8.05,scattered clouds,0.0,0
149,lugus,PH,5.7,120.82,83.68,73,82,2.91,light rain,0.23,0
150,bayburt,TR,40.26,40.23,79.43,31,59,3.02,broken clouds,0.0,0
151,klyuchi,RU,52.27,79.17,75.72,46,94,16.87,overcast clouds,0.0,0
152,victoria point,AU,-27.58,153.3,57.99,60,0,1.01,clear sky,0.0,0
153,bilibino,RU,68.05,166.44,46.54,58,57,1.95,broken clouds,0.0,0
154,hithadhoo,MV,-0.6,73.08,82.36,78,100,13.58,moderate rain,1.04,0
155,juba,SS,4.85,31.58,83.1,66,72,3.67,light rain,0.85,0
156,adrar,MR,20.5,-10.07,104.16,14,35,11.41,scattered clouds,0.0,0
157,ust-nera,RU,64.57,143.2,55.74,73,66,5.79,light rain,0.23,0
158,port elizabeth,ZA,-33.92,25.57,71.6,33,6,9.17,clear sky,0.0,0
159,bethel,US,41.37,-73.41,80.6,69,1,9.17,clear sky,0.0,0
160,utevka,RU,52.9,50.95,78.67,38,57,5.1,broken clouds,0.0,0
161,deori khas,IN,23.4,79.02,90.63,57,100,7.05,overcast clouds,0.0,0
162,san jose,US,37.34,-121.89,62.01,77,90,2.13,overcast clouds,0.0,0
163,ossora,RU,59.24,163.07,56.12,80,0,1.32,clear sky,0.0,0
164,grand forks,US,47.93,-97.03,63.0,87,20,6.93,few clouds,0.0,0
165,kibala,TD,9.11,18.35,75.2,83,20,2.3,few clouds,0.0,0
166,turtas,RU,58.94,69.13,61.07,46,91,7.4,overcast clouds,0.0,0
167,oranjestad,AW,12.52,-70.03,84.2,79,20,13.87,few clouds,0.0,0
168,pasighat,IN,28.07,95.33,82.0,76,86,0.16,overcast clouds,0.0,0
169,akureyri,IS,65.68,-18.09,50.0,76,75,2.24,broken clouds,0.0,0
170,broken hill,AU,-31.95,141.43,50.0,61,42,4.7,scattered clouds,0.0,0
171,epe,NG,6.58,3.98,82.22,69,99,10.33,light rain,0.21,0
172,upernavik,GL,72.79,-56.15,43.81,85,100,3.31,overcast clouds,0.0,0
173,kavieng,PG,-2.57,150.8,83.3,73,43,9.51,scattered clouds,0.0,0
174,tura,IN,25.52,90.22,78.44,94,100,5.1,moderate rain,1.25,0
175,torbay,CA,47.67,-52.73,59.0,100,75,8.05,mist,0.0,0
176,margate,GB,51.38,1.39,66.99,32,34,4.0,scattered clouds,0.0,0
177,metro,ID,-5.11,105.31,75.83,80,21,4.92,few clouds,0.0,0
178,pangnirtung,CA,66.15,-65.71,48.2,93,90,13.87,light rain,0.0,0
179,mocuba,MZ,-16.84,36.99,70.7,76,60,6.69,light rain,0.37,0
180,vestmanna,FO,62.16,-7.17,50.0,100,94,17.22,overcast clouds,0.0,0
181,tiarei,PF,-17.53,-149.33,77.0,78,40,10.29,scattered clouds,0.0,0
182,rock springs,US,41.59,-109.2,57.2,82,90,8.05,light rain,0.0,0
183,kadoma,JP,34.73,135.58,79.0,94,75,6.93,broken clouds,0.0,0
184,menongue,AO,-14.66,17.69,81.68,15,0,5.91,clear sky,0.0,0
185,severo-yeniseyskiy,RU,60.37,93.04,62.98,70,76,3.78,light rain,0.23,0
186,nouadhibou,MR,20.93,-17.03,80.6,65,3,12.75,clear sky,0.0,0
187,mar del plata,AR,-38.0,-57.56,39.2,77,20,11.41,few clouds,0.0,0
188,roma,US,43.21,-75.46,73.4,78,75,9.17,broken clouds,0.0,0
189,bereda,ES,43.27,-7.54,73.0,81,50,18.01,scattered clouds,0.0,0
190,lompoc,US,34.64,-120.46,57.2,93,90,4.7,overcast clouds,0.0,0
191,mayya,RU,61.73,130.28,66.2,48,70,6.71,broken clouds,0.0,0
192,mehran,IR,33.12,46.16,105.8,13,40,11.41,scattered clouds,0.0,0
193,liezen,AT,47.57,14.23,89.01,48,19,4.7,few clouds,0.0,0
194,norman wells,CA,65.28,-126.83,50.0,100,75,3.36,broken clouds,0.0,0
195,yeppoon,AU,-23.13,150.73,50.0,71,0,6.58,clear sky,0.0,0
196,san cristobal,VE,7.77,-72.22,78.8,83,20,2.24,few clouds,0.0,0
197,pringsewu,ID,-5.36,104.97,74.52,82,30,2.53,scattered clouds,0.0,0
198,aketi,CD,2.74,23.78,88.61,49,99,5.66,light rain,0.32,0
199,rafraf,TN,37.19,10.18,96.8,19,0,6.93,clear sky,0.0,0
200,pak phanang,TH,8.35,100.2,78.8,94,40,2.24,light rain,0.0,0
201,diffa,NE,13.32,12.61,95.61,38,58,8.95,broken clouds,0.0,0
202,ashtian,IR,34.52,50.0,91.44,11,62,12.12,broken clouds,0.0,0
203,ust-kuyga,RU,70.02,135.6,42.08,79,100,7.49,overcast clouds,0.0,0
204,kenai,US,60.55,-151.26,54.0,81,1,6.08,clear sky,0.0,0
205,hamilton,US,39.18,-84.53,73.99,88,40,5.82,light rain,0.25,0
206,orlik,RU,52.52,99.83,64.74,57,96,7.0,overcast clouds,0.0,0
207,sao joao da barra,BR,-21.64,-41.05,75.2,64,0,4.7,clear sky,0.0,0
208,mega,ET,4.05,38.3,67.19,61,93,20.11,overcast clouds,0.0,0
209,beloha,MG,-25.17,45.05,71.8,59,45,16.17,scattered clouds,0.0,0
210,sorland,NO,67.67,12.69,60.8,82,53,11.41,broken clouds,0.0,0
211,marigot,MF,18.07,-63.08,86.0,70,20,12.75,few clouds,0.0,0
212,kysyl-syr,RU,63.9,122.76,56.98,67,100,6.31,overcast clouds,0.0,0
213,mbandaka,CD,0.05,18.26,84.43,54,17,3.51,few clouds,0.0,0
214,qaqortoq,GL,60.72,-46.03,50.0,76,75,3.36,broken clouds,0.0,0
215,kudahuvadhoo,MV,2.67,72.89,83.28,76,35,15.32,scattered clouds,0.0,0
216,mehamn,NO,71.04,27.85,75.2,44,20,12.75,few clouds,0.0,0
217,longyearbyen,SJ,78.22,15.64,68.0,49,75,17.22,broken clouds,0.0,0
218,maan,PH,5.93,124.74,80.49,74,74,4.34,light rain,0.25,0
219,alofi,NU,-19.06,-169.92,66.2,93,8,3.36,clear sky,0.0,0
220,alto araguaia,BR,-17.31,-53.22,75.18,40,0,2.82,clear sky,0.0,0
221,collie,AU,-33.37,116.15,53.01,84,28,3.15,scattered clouds,0.0,0
222,vostok,RU,46.49,135.88,64.44,95,1,2.98,clear sky,0.0,0
223,buenavista,PH,8.98,125.41,80.29,80,92,2.1,light rain,0.18,0
224,nikolskoye,RU,59.7,30.79,70.0,88,75,6.71,light intensity shower rain,0.0,0
225,marzuq,YE,14.4,46.47,83.89,46,15,12.95,few clouds,0.0,0
226,taoudenni,ML,22.68,-3.98,107.35,18,43,9.42,scattered clouds,0.0,0
227,rocha,UY,-34.48,-54.33,43.45,84,25,11.54,scattered clouds,0.0,0
228,hasaki,JP,35.73,140.83,78.8,88,90,5.82,light rain,0.0,0
229,bubaque,GW,11.28,-15.83,77.81,90,100,15.28,moderate rain,3.55,0
230,bekhtery,UA,46.25,32.29,84.63,42,74,18.61,broken clouds,0.0,0
231,black river,JM,18.03,-77.85,82.99,83,40,5.82,scattered clouds,0.0,0
232,murud,IN,18.33,72.97,84.69,76,93,7.4,overcast clouds,0.0,0
233,coquimatlan,MX,19.2,-103.8,70.86,85,25,3.49,scattered clouds,0.0,0
234,priiskovyy,RU,51.93,116.63,74.1,64,57,7.36,broken clouds,0.0,0
235,tiznit,MA,29.58,-9.5,99.79,16,0,4.7,clear sky,0.0,0
236,wysokie mazowieckie,PL,52.92,22.52,84.0,53,77,11.7,broken clouds,0.0,0
237,xingcheng,CN,40.62,120.72,75.06,81,6,10.36,clear sky,0.0,0
238,coruripe,BR,-10.13,-36.18,77.0,81,8,12.48,moderate rain,1.05,0
239,ewa beach,US,21.32,-158.01,78.8,61,1,18.37,clear sky,0.0,0
240,kibaha,TZ,-6.77,38.92,84.2,54,75,13.87,broken clouds,0.0,0
241,edea,CM,3.8,10.13,77.0,100,75,4.7,light intensity drizzle rain,0.0,0
242,hirara,JP,24.8,125.28,80.6,88,75,2.24,light intensity shower rain,0.0,0
243,uruguaiana,BR,-29.75,-57.09,44.6,65,14,10.29,few clouds,0.0,0
244,buta,CD,2.79,24.73,89.28,46,94,5.23,overcast clouds,0.0,0
245,humaita,BR,-7.51,-63.02,78.4,63,0,2.21,clear sky,0.0,0
246,kachug,RU,53.96,105.88,68.29,66,43,4.76,scattered clouds,0.0,0
247,glens falls,US,43.31,-73.64,73.99,94,90,4.7,moderate rain,2.79,0
248,shizunai,JP,42.33,142.37,62.92,86,36,5.1,scattered clouds,0.0,0
249,husavik,IS,66.04,-17.34,50.0,76,75,2.24,broken clouds,0.0,0
250,bilma,NE,18.69,12.92,103.12,22,1,4.92,clear sky,0.0,0
251,fukue,JP,32.69,128.84,80.29,89,100,9.46,light rain,0.44,0
252,asandh,IN,29.52,76.6,100.89,36,77,7.65,broken clouds,0.0,0
253,khatanga,RU,71.97,102.5,61.9,46,0,4.5,clear sky,0.0,0
254,bagotville,AU,-28.98,153.42,57.2,67,0,10.29,clear sky,0.0,0
255,caravelas,BR,-17.71,-39.25,75.69,74,74,4.12,light rain,0.32,0
256,hobyo,SO,5.35,48.53,82.94,68,64,24.67,broken clouds,0.0,0
257,port said,EG,31.26,32.28,86.0,70,0,11.41,clear sky,0.0,0
258,cabo san lucas,MX,22.89,-109.91,81.0,78,75,14.99,broken clouds,0.0,0
259,portland,US,45.52,-122.68,64.99,77,1,5.82,clear sky,0.0,0
260,puerto cabezas,NI,14.04,-83.39,79.75,86,85,10.69,light rain,0.14,0
261,zenzeli,RU,45.92,47.05,91.45,23,6,16.08,clear sky,0.0,0
262,ulety,RU,51.36,112.48,66.4,89,99,7.02,light rain,0.49,0
263,ugoofaaru,MV,5.67,73.0,82.42,79,54,17.83,broken clouds,0.0,0
264,illapel,CL,-31.63,-71.17,50.85,47,0,2.35,clear sky,0.0,0
265,victoria,HK,22.29,114.16,87.01,70,51,11.01,broken clouds,0.0,0
266,sao desiderio,BR,-12.36,-44.97,73.8,52,90,8.68,overcast clouds,0.0,0
267,gat,IL,31.61,34.76,91.99,55,0,14.34,clear sky,0.0,0
268,warrnambool,AU,-38.38,142.48,48.99,93,100,4.0,overcast clouds,0.0,0
269,farmington,US,36.73,-108.22,60.8,82,1,4.7,clear sky,0.0,0
270,san patricio,MX,19.22,-104.7,76.55,80,34,4.92,scattered clouds,0.0,0
271,chokurdakh,RU,70.63,147.92,45.19,83,92,8.9,overcast clouds,0.0,0
272,caronport,CA,50.45,-105.82,55.4,87,5,6.93,clear sky,0.0,0
273,pavlodar,KZ,52.3,76.95,73.4,53,40,11.18,scattered clouds,0.0,0
274,sangar,RU,63.92,127.47,58.3,65,100,9.95,overcast clouds,0.0,0
275,poum,NC,-20.23,164.02,74.23,80,76,28.92,broken clouds,0.0,0
276,santa rosa del sur,CO,7.96,-74.05,70.02,100,100,1.41,light rain,0.37,0
277,linhares,BR,-19.39,-40.07,74.89,66,73,2.84,broken clouds,0.0,0
278,saint-pierre,RE,-21.34,55.48,73.4,78,90,18.34,overcast clouds,0.0,0
279,neiafu,TO,-18.65,-173.98,73.4,73,40,9.17,scattered clouds,0.0,0
