City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kaitangata,NZ,2020-07-28 04:58:42,-46.28,169.85,46.0,74,100,1.99
70,Upington,ZA,2020-07-28 04:58:42,-28.45,21.26,42.8,48,0,3.36
71,Bredasdorp,ZA,2020-07-28 04:58:43,-34.53,20.04,39.2,93,9,2.24
72,Sobolevo,RU,2020-07-28 04:58:44,54.43,31.9,66.33,91,50,7.56
73,Ribeira Grande,PT,2020-07-28 04:58:44,38.52,-28.7,72.81,89,5,6.51
74,Qaanaaq,GL,2020-07-28 04:58:44,77.48,-69.36,39.0,73,0,0.25
75,West Bay,KY,2020-07-28 04:58:44,19.37,-81.42,84.0,83,0,1.01
76,Pevek,RU,2020-07-28 04:58:45,69.7,170.31,35.2,86,0,12.77
77,Arraial Do Cabo,BR,2020-07-28 04:58:45,-22.97,-42.03,71.28,82,0,23.53
78,Hearst,CA,2020-07-28 04:58:45,49.68,-83.67,57.33,94,39,4.88
79,Salalah,OM,2020-07-28 04:57:03,17.02,54.09,80.6,94,75,8.05
80,Coatesville,US,2020-07-28 04:58:01,39.98,-75.82,80.01,74,1,5.82
81,College,US,2020-07-28 04:58:46,64.86,-147.8,60.8,77,90,5.82
82,Puerto Escondido,MX,2020-07-28 04:58:46,15.85,-97.07,79.65,80,100,3.83
83,Nekhayevskiy,RU,2020-07-28 04:58:46,50.41,41.76,71.01,52,100,3.0
84,Tottori,JP,2020-07-28 04:58:47,35.5,134.23,86.0,70,75,6.93
85,Kaeo,NZ,2020-07-28 04:58:47,-35.1,173.78,57.0,3,49,5.99
86,Fomboni,KM,2020-07-28 04:58:47,-12.28,43.74,71.51,81,99,17.52
87,Warmbad,NA,2020-07-28 04:58:47,-28.45,18.73,55.8,36,0,8.57
88,Ambilobe,MG,2020-07-28 04:58:48,-13.2,49.05,77.16,62,39,2.86
89,New Norfolk,AU,2020-07-28 04:58:48,-42.78,147.06,54.0,83,29,3.0
90,Bandarbeyla,SO,2020-07-28 04:58:48,9.49,50.81,85.23,56,0,24.92
91,Barranca,PE,2020-07-28 04:58:48,-10.75,-77.77,57.99,88,97,4.79
92,Umm Lajj,SA,2020-07-28 04:58:49,25.02,37.27,89.62,55,70,8.75
93,Bud,US,2020-07-28 04:58:49,39.45,-86.18,73.0,99,100,7.99
